users,run,total_requests,elapsed_sec,successes,failures,tps,mean_latency_ms,median_latency_ms,p99_latency_ms
9,1,180,14.929467199981445,180,0,12.056692820238334,727.1847433349143,642.8119499905733,2241.8248600116935
9,2,180,13.022846400010167,180,0,13.821863091302335,637.2046305555463,631.2568499997724,862.3849570145832
9,3,180,12.58821300001,180,0,14.299090744640006,616.3052677763819,594.1687000013189,1061.2812509897049
10,1,200,14.369073000008939,200,0,13.918782373774256,704.4994620009675,721.6581499960739,1068.342317004862
10,2,200,19.09027319998131,200,0,10.476539434762818,925.8025829978578,919.1226999973878,1413.8652629978603
10,3,200,19.973485299997265,200,0,10.01327494906597,978.7776439997833,760.8220000111032,4678.017948997731
11,1,220,13.26145180000458,220,0,16.58943555485562,650.8975986367493,618.6079500039341,1078.4825530051603
11,2,220,12.20055599999614,220,0,18.031965100612595,589.6738431823906,578.8441500044428,797.3983820003923
11,3,220,12.90671179999481,220,0,17.04539493940575,630.4156772724872,604.8614000028465,973.7745090181124
12,1,240,14.42109759998857,240,0,16.642283871665235,709.0433504160803,696.989450007095,971.2494709959718
12,2,240,13.365823300002376,240,0,17.95624516448286,658.8384987496586,623.4568000072613,1131.5729780052789
12,3,240,13.134111999999732,240,0,18.273028279338938,642.7419566666989,633.7082999962149,889.7329099915803
13,1,260,13.123764299991308,260,0,19.81138902351151,642.4806642321457,618.6815499968361,1077.3290700084187
13,2,260,13.792511799983913,260,0,18.850808596031307,671.8609507694894,671.823550001136,860.1999290045936
13,3,260,15.110031100019114,260,0,17.207112168000176,739.3184203850419,716.8350000138162,1238.0161760092599
14,1,280,17.34932900001877,280,0,16.138952693772598,850.5518896424161,822.3899999866262,1387.8984980093078
14,2,280,15.678027399990242,280,0,17.85938963215323,758.2771671438032,722.7274000033503,1485.0438339894747
14,3,280,12.630505300010554,280,0,22.16855092881882,618.5114228575133,608.3383999939542,861.8657680117757
15,1,300,14.182580699998653,300,0,21.152708829643995,694.5905803325392,677.5118999939878,964.1270650026854
15,2,300,10.449236200016458,300,0,28.71023242823504,513.5797533334699,505.2235000039218,664.4763529844931
15,3,300,11.77473179998924,300,0,25.47828732712826,578.5060360016845,573.5153499990702,754.1881599891348
16,1,320,13.042707599990536,320,0,24.534782946466745,634.2992115618472,593.7467999901855,1208.275075024285
16,2,320,14.329505500005325,320,0,22.331545216258935,705.8616934391466,685.7316499954322,1141.2662420002744
16,3,320,14.426728399994317,320,0,22.181051110668033,703.6340359366477,687.6855500013335,989.9070849860436
17,1,340,14.694014600012451,340,0,23.138673075750987,716.763392941742,693.0604000081075,1131.0684520157522
17,2,340,16.867328699998325,340,0,20.15731157240291,829.1298549997224,775.686949986266,1282.6973560024635
17,3,340,15.443966399994679,340,0,22.015069911063595,753.5997867632163,745.1647500129184,1022.9919739914477
18,1,360,15.85438490001252,360,0,22.70665196224142,781.4979169441763,778.4792000020389,1115.6851820033633
18,2,360,14.53938040000503,360,0,24.76033985601446,712.5968302790877,712.3461000010138,1066.0335600131657
18,3,360,13.86171659998945,360,0,25.97080941622151,678.5139333326597,663.4276499826228,935.2901519922312
19,1,380,14.822047399997246,380,0,25.63748379323565,723.7172726318117,707.9308000102174,1038.5461099969687
19,2,380,13.412761900020996,380,0,28.33122684444321,657.0695007910743,657.0387000101618,867.537718011008
19,3,380,14.212691900000209,380,0,26.73666626094909,698.2942818407441,662.5312999967718,1131.135568002064
20,1,400,13.59665279998444,400,0,29.419005242265047,665.3837399999611,663.127549996716,869.3308349858853
20,2,400,19.482935100008035,400,0,20.530787478722086,952.5682099992264,859.6838999947067,1926.9885629773487
20,3,400,22.533642299997155,400,0,17.75123589318938,1101.8487950003328,1064.7258999961196,1644.1037549980683
